1,Dr.LOVE,DANCE POP,baby weapon feat.Asuka.M,0
2,GAMBOL,BIG BEAT,SLAKE,0
3,GRADIUSIC CYBER,DIGI-ROCK,TAKA,0
4,R3,RAVE,tiger YAMATO,0
5,22DUNK,TECHNO,SLAKE,0
6,5.1.1.,PIANO AMBIENT,dj nagureo,0
7,BRILLIANT 2U,EURO GROOVE,NAOKI,0
8,deep in you,DANCE POP,dj nagureo,0
9,GENOM SCREAMS,TRANCE,L.E.D.LIGHT,0
10,KEEP ON MOVIN',DANCE POP,N.M.R.,0
11,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,0
12,PARANOIA MAX～DIRTY MIX～,JUNGLE,190,0
13,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,0
14,THE EARTH LIGHT,TRANCE,L.E.D.LIGHT,0
15,Dancin' Into The Night,DISCO,good-cool,1
16,Digital MinD(A/T Libra mix),MINIMAL,TaQ,1
17,Electro Tuned(the SubS mix),BIG BEAT,TaQ,1
18,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,1
19,I Was The One,ITALO HOUSE,good-cool,1
20,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,1
21,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,1
22,.59,CHILL OUT,dj TAKA,1
23,CAN'T STOP FALLIN'IN LOVE,HYPER EUROBEAT,NAOKI,2
24,Don't Stop!,HAPPY HANDBAG,dj TAKA feat. JP Miles,2
25,era (nostalmix),DRUM'N'BASS,TaQ,2
26,Holic,HARD TECHNO,TaQ,2
27,LEADING CYBER,DIGI-ROCK,dj TAKA,2
28,Presto,PIANO AMBIENT,Osamu Kubota,2
29,R5,RAVE,tigerYAMATO with ultrabeatbox,2
30,REINCARNATION,TRANCE,dj TAKA,2
31,Schlagwerk,BIG BEAT,TaQ,2
32,Skyscraper,EPIC HOUSE,good-cool,2
33,Tangerine Stream,AMBIENT,dj TAKA,2
34,THE SAFARI,WORLD HOUSE,Lion Musashi,2
35,ABSOLUTE,EPIC TRANCE,dj TAKA,3
36,B4U,SPEED RAVE,NAOKI,3
37,Broken My Heart,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,3
38,Burnin' The Floor,EURO GROOVE,NAOKI,3
39,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,3
40,Clione,DUTCH TRANCE,kors k,3
41,DXY!,TECHNO,TaQ,3
42,empathy,DRUM'N'BASS,TaQ,3
43,era (step mix),DRUM'N'BASS,TaQ,3
44,FLOWERS for ALBION,AMBIENT,dj TAKA,3
45,HIGHER,DANCE POP,NM feat. Sunny,3
